Designator,Footprint,Quantity,Value,LCSC Part #
BT1,Linx_BAT-HLD-001,1,CR2032,
C1,CP_Radial_D6.3mm_P2.50mm,1,4.7u,
"C2, C3, C4",C_Rect_L7.0mm_W2.5mm_P5.00mm,3,100n,
"D1, D2",D_DO-35_SOD27_P7.62mm_Horizontal,2,1N5711,
J1,Kycon_STX-3120-3B,1,Key Output,
J2,SameSky_SJ-43514,1,Paddle Input/UART,
J3,PinSocket_1x04_P2.54mm_Vertical,1,UPDI,
"Q1, Q2",TO-92_Inline,2,2N4401,
"R1, R2, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,3,10k,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,470,
R5,Bournes_PTV09A,1,1M,
"S1, S2, S3",C&K_PTS645VH832LFS,3,PUSHBUTTON_TACTILE,
SP1,PUI_AT-1224-TWT-12V-2-R,1,Piezo Speaker,
U1,SOIC-20W_7.5x12.8mm_P1.27mm,1,ATtiny3226-S,
