Designator,Mid X,Mid Y,Rotation,Layer
BT1,121.0,-62.0,0.0,top
C1,140.2,-77.25,0.0,top
C2,145.35,-70.65,180.0,top
C3,140.45,-83.85,0.0,top
C4,152.35,-85.85,0.0,top
D1,154.54,-72.75,0.0,top
D2,154.55,-68.55,0.0,top
G1,111.1,-88.4,0.0,top
J1,142.5,-55.5,180.0,top
J2,155.35,-56.95,180.0,top
J3,167.0,-69.82,0.0,top
Q1,154.4,-79.53,270.0,top
Q2,138.6,-68.89,180.0,top
R1,150.0,-78.48,270.0,top
R2,134.33,-73.75,0.0,top
R3,139.475,-88.6,0.0,top
R4,146.35,-78.48,270.0,top
R5,153.0,-93.3,0.0,top
S1,115.0,-94.75,0.0,top
S2,127.0,-94.75,0.0,top
S3,139.0,-94.75,0.0,top
SP1,163.2,-83.2,90.0,top
SYM1,105.4,-88.4,0.0,top
U1,127.785,-83.3,180.0,top
